date,weekday_name,total_arrivals,avg_delay_min,median_delay_min,on_time_pct,severely_delayed_pct
2024-07-08,Monday,275949,1.31,0.0,93.85,1.2
2024-07-09,Tuesday,253951,1.52,0.0,92.61,1.53
